X,Y,Z
2375,-490,1140
1111,-168,880
485,-242,-21
698,-584,-1107
1236,-989,-1944
1548,-972,-2402
1038,-605,-2270
235,-17,-1649
-318,595,-681
-518,1065,284
-200,1602,1036
-211,1373,1341
175,743,1018
778,293,516
492,-385,303
-341,-612,203
-776,-694,459
-1037,-536,752
-1333,-792,862
-1072,-1268,215
-751,-1400,-879
-758,-1148,-1374
-507,-383,-848
-445,745,546
-1001,1511,1614
-1577,1570,1784
-1041,903,1032
102,229,413
329,-180,674
-549,-595,1071
-1074,-1141,742
-1366,-1616,564
-1710,-1393,1015
-2240,-1074,1518
-2823,-1297,1126
-2617,-1384,201
-2177,-782,-342
-2371,-124,-456
-2460,368,-407
-2074,155,35
-1583,-63,336
-1198,-28,-19
-1219,124,-352
-1499,64,-361
-1586,-534,-385
-1492,-1007,-498
-1230,-1402,-278
-932,-917,-78
-841,-141,325
-868,314,1158
-830,373,1638
-576,5,1437
-357,-390,840
-395,-564,181
-491,-167,-347
-446,661,-472
-168,1257,-579
284,1052,-565
1244,472,-902
2030,77,-1399
2616,360,-1676
2845,1135,-1297
2173,1531,-585
700,1221,-204
-477,38,55
-894,-1129,799
-889,-1106,1467
-1135,-479,2029
-1478,-67,2759
-2007,-293,2732
-2168,-615,2503
-1803,-490,1980
-1326,-126,900
-579,290,-344
136,625,-900
567,409,-852
927,9,-879
1110,-233,-723
1002,-282,-403
566,-159,-116
320,-210,-215
504,-150,-456
396,85,-469
-166,442,-328
-741,553,-182
-612,88,-4
287,-197,-172
631,-221,-426
496,-95,-554
392,261,-693
55,626,-539
-187,926,-435
-114,1274,-712
221,1667,-1203
707,1981,-1331
1717,1718,-424
2309,1326,723
1740,898,610
1460,1153,-625
1555,1508,-1157
798,1388,-544
-120,854,74
-395,193,834
-695,-742,1655
-1131,-971,2063
-1519,-758,2169
-1591,-473,2284
-1775,29,2155
-1897,518,1848
-1925,905,1372
-1500,1029,727
-830,891,149
142,693,-46
1063,633,452
1264,1070,904
497,1701,279
-427,2289,-1238
-933,1016,-1544
-240,-915,-1035
363,-1338,-911
-112,-992,-1001
-477,-775,-1045
241,-607,-645
894,-470,431
639,-456,1384
186,-190,1475
-253,299,1116
-526,504,681
-198,472,-80
564,428,-990
1051,429,-1677
1129,507,-2108
909,625,-2274
735,579,-2139
653,488,-1692
673,581,-1142
460,302,-621
665,-172,-208
1241,-252,281
1963,-9,312
2036,306,311
1581,125,368
1458,463,-2
1079,710,-8
553,666,-2
178,799,-376
-316,789,-803
-843,855,-1282
-1218,329,-1173
-486,-590,-1105
454,-898,-1705
875,-573,-2159
414,164,-1385
-93,579,-141
-345,610,904
275,779,1180
1069,475,1397
1426,575,1594
1090,955,1914
31,1202,1873
-868,1125,1462
-753,517,838
230,-180,358
653,-280,-127
221,-47,-773
-408,-13,-1273
-461,-277,-1507
92,-519,-1461
645,-562,-1068
775,-445,-376
790,-306,175
972,-242,506
