X,Y,Z
-30,413,246
-233,487,131
-346,520,-62
-115,304,-156
219,-103,30
105,-330,523
-348,-436,1168
-784,-500,1500
-1019,-552,1147
-750,-362,312
-195,-118,-350
109,-20,-614
95,-22,-519
-133,-203,30
-549,-550,640
-792,-803,973
-834,-872,919
-656,-747,671
-623,-603,378
-574,-473,34
-397,-348,-322
-240,-434,-528
-70,-581,-591
88,-680,-599
87,-592,-612
57,-361,-643
120,-256,-581
174,-287,-418
143,-204,-265
60,-117,-213
5,144,-211
-72,214,16
-197,192,374
-304,76,382
-240,113,327
-258,113,312
-363,43,275
-311,3,193
-216,-4,385
-294,-18,838
-544,-318,1232
-669,-536,980
-516,-602,182
-97,-503,-521
70,-335,-905
-84,-53,-982
-221,81,-744
-266,-107,-307
-254,-289,122
-338,-277,452
-487,-170,648
-628,-124,666
-542,-194,433
-270,-188,115
-55,-202,-76
-154,-228,-85
-249,-306,5
-212,-439,65
-160,-494,-32
-1,-466,-195
127,-419,-232
121,-298,-218
11,-158,-262
3,1,-377
74,179,-387
12,135,-44
-157,-111,307
-235,-161,373
-244,-19,266
-232,-141,165
-192,-376,186
-149,-421,369
-150,-575,591
-275,-729,970
-610,-751,1130
-928,-490,619
-805,36,-324
-512,330,-901
-188,276,-956
-83,108,-779
-93,-132,-363
-120,-32,-69
-465,22,239
-740,66,398
-731,99,395
-545,264,148
-394,606,-149
-405,901,-330
-395,973,-404
-291,784,-455
28,465,-414
205,334,-423
189,241,-362
154,164,-236
222,-164,28
305,-454,245
378,-579,387
281,-544,514
110,-420,496
48,-279,439
-33,-65,313
-32,23,238
-25,53,254
8,45,189
66,12,53
228,74,-190
432,98,-227
464,-1,158
148,12,636
-244,240,851
-657,354,712
-745,388,238
-563,407,-319
-172,348,-624
1,329,-817
199,304,-753
249,139,-486
170,126,-191
151,46,66
117,-21,204
114,-146,292
118,-102,84
212,122,-245
220,176,-481
202,33,-595
207,-112,-494
212,-226,-471
224,-284,-371
282,-196,-146
55,-32,123
-114,166,148
29,112,99
176,-186,89
242,-373,0
328,-420,152
64,-318,320
-149,-78,215
-150,21,257
-177,11,347
-238,2,292
-318,62,91
-305,120,-185
-205,46,-304
-68,-97,-197
-55,-255,35
-88,-190,267
-168,-9,401
-279,61,394
-292,148,355
-64,-11,144
413,-175,-194
724,-255,-401
924,-301,-353
788,-329,-145
532,-314,54
336,-188,190
223,-68,267
172,12,227
176,250,68
121,413,-16
158,460,-183
317,434,-322
443,361,-412
503,345,-557
560,282,-568
436,257,-464
329,272,-424
283,171,-198
144,98,42
86,-31,183
79,-76,123
36,-62,31
-112,-10,42
-229,10,168
-251,-63,243
-180,-118,111
47,-189,-91
141,-281,-265
107,-331,-361
97,-344,-326
12,-315,93
-372,-168,404
-470,26,398
-126,98,99
294,91,-405
541,208,-674
500,176,-353
238,-47,191
119,-171,400
205,-177,287
245,-76,105
46,52,44
-175,121,145
-331,1,80
-227,-93,-120
0,-180,-288
59,-220,-408
8,-188,-418
40,-153,-357
108,-289,-187
-35,-451,78
-38,-419,79
89,-208,62
33,3,163
-198,224,372
-498,415,302
-651,459,-35
-563,474,-267
-353,364,-499
-265,-35,-311
-390,-514,13
-384,-409,205
-282,-152,249
-329,-287,256
-233,-727,357
-120,-877,373
-106,-817,171
-104,-807,169
-107,-802,229
-136,-773,202
-205,-557,158
-412,-239,201
-504,18,247
-567,127,144
-269,31,-270
391,116,-803
998,57,-1109
1278,-137,-783
937,-412,-110
385,-362,459
153,-304,618
-26,-149,525
-166,103,235
-318,216,-53
-399,80,-179
-427,-144,-164
-227,-19,-279
4,181,-468
194,295,-457
160,151,0
-114,82,220
-275,192,-24
-160,255,-312
86,40,-339
272,-188,-87
356,-261,25
402,-114,28
306,101,268
36,213,573
