X,Y,Z
-50,-23,-47
-58,-50,-16
-18,-68,-7
-6,-44,-31
-78,-9,-12
-14,9,5
-3,9,-11
-56,-71,-12
-26,-69,-20
-7,-38,-13
-35,-16,-28
-54,-40,-26
-25,-24,-26
-8,-20,-24
-16,-36,-26
-28,-14,-25
-28,19,-14
-10,-8,-6
4,1,-8
-14,1,5
-12,-26,-9
-29,-3,-9
-20,-32,0
-16,-20,-6
-14,-3,-11
-18,-3,16
-12,4,-14
-3,-12,1
-6,-10,8
-2,18,-6
0,-16,1
16,-1,-1
-2,14,-4
-2,4,10
11,-23,2
-14,-24,-16
-34,5,5
-26,7,-7
8,-8,-5
-9,7,-12
-7,20,4
16,0,-9
-4,-32,7
-17,-9,-21
-18,13,15
14,-4,0
-6,17,-21
3,-4,0
-6,-22,-19
-32,-2,2
-30,-10,-23
12,4,-10
34,-10,-6
8,5,13
14,-26,-8
5,-32,-1
4,-24,-25
-4,-42,-7
14,-14,1
-2,20,-19
-16,45,-16
-16,41,-6
-14,-26,-20
15,-42,-7
-8,-34,15
8,-16,21
-10,-4,-9
4,34,10
-16,-5,-3
18,-17,-18
26,0,-8
-16,-6,-24
14,0,-5
15,1,11
2,-22,26
0,-36,4
0,16,-16
-19,29,-19
-6,7,-3
-12,-14,3
4,19,-10
22,-10,29
11,-14,-15
-10,2,3
0,-14,3
-2,-7,-8
3,-12,10
-8,1,1
-6,-20,-16
-6,-22,-7
-20,-32,2
11,-4,-1
-12,-4,-5
0,-18,-4
6,4,21
10,-28,5
14,-8,-10
-5,-29,6
-2,2,10
5,12,-5
22,-10,12
16,-16,11
-16,-32,-3
-8,-16,-9
-32,-2,-10
-20,-16,2
-2,7,0
2,-14,15
18,-8,21
10,0,-1
-12,13,-16
-57,17,-10
30,14,-5
59,39,5
59,12,-4
67,-40,10
-10,-12,8
-152,-45,-23
-161,9,-9
-28,-38,-12
84,-43,10
50,-48,25
-14,8,-13
-55,27,-1
-10,1,-19
36,12,-11
43,5,-1
-3,-28,-1
-34,12,-7
-8,-12,2
2,-26,15
39,-10,-7
-9,-18,11
-34,8,29
-2,-28,1
2,-20,-1
18,4,-11
24,-10,9
4,4,-10
-2,29,-16
-4,16,-7
0,-22,-16
5,-20,-1
-14,-2,-23
-14,2,3
-8,-8,15
-8,25,-4
-2,-2,-4
42,-18,6
16,-4,-15
-41,-22,-6
-24,-37,16
8,-8,-7
-12,19,-27
-2,23,14
41,-10,1
3,-2,-11
-13,0,-9
-6,-10,2
4,6,-2
-29,8,-7
-2,-6,-6
8,-8,-11
17,-2,3
4,10,2
-19,-20,-6
-8,4,-3
-6,-4,-4
2,-3,-4
1,-8,-3
4,20,-10
3,-18,14
-8,-14,7
-30,24,0
-10,11,1
17,-12,9
-22,18,-8
-16,20,45
-14,-17,1
-6,-10,-10
-8,25,13
0,-21,-23
-26,24,23
8,-12,-26
24,6,8
18,-8,-1
-8,15,0
-2,-6,-5
-2,-12,-18
-8,-11,-13
-14,8,-4
16,1,-4
-2,-12,-5
-20,-8,5
-31,16,-2
10,15,-16
32,-17,-3
16,9,11
4,-1,-16
-40,-12,-8
4,-4,8
-3,-2,21
24,2,-9
0,-8,-3
-6,-2,8
28,-4,-3
8,-12,-14
-28,-16,-14
-16,2,2
6,-4,-8
2,-6,-17
-13,16,16
7,-33,16
-6,2,22
-10,0,13
-8,20,11
-2,-2,1
29,-16,-12
-14,-19,-13
10,2,5
12,-12,-5
8,3,31
-14,8,-7
0,-18,13
16,-13,-15
4,12,-14
10,-16,-4
-10,-14,-18
-20,2,3
20,8,-28
-6,15,-17
38,-41,12
0,-10,-32
2,-2,5
-14,-23,18
-4,-6,-4
8,22,3
-6,-6,-21
-2,-4,-3
13,-25,-24
6,-40,10
-16,-24,-2
-17,-8,-17
-22,-15,-18
4,-12,-4
12,16,11
22,-36,-9
6,-46,-17
-24,-16,20
-11,0,5
-2,-10,3
-6,-12,4
-16,-13,3
10,-22,1
-8,-2,-20
-16,-22,21
-30,-25,7
-2,-22,-15
15,-23,-20
19,-7,-7
-5,-34,-16
-7,-24,-3
14,-33,-29
-6,-11,-10
-4,-15,-17
19,-16,7
-6,-25,1
-12,-22,3
18,-21,-12
-8,-13,-18
10,-32,-13
6,-22,-16
-8,-3,-22
-8,-12,-12
12,-12,-12
16,-19,1
-6,-23,13
-6,-22,-16
2,-18,-1
3,1,-26
33,15,-33
10,14,-17
6,-19,-27
-4,-40,-14
-16,-99,18
34,-36,-19
91,30,-41
25,-88,29
4,-131,-7
55,-85,-47
142,-138,-57
91,-127,-68
50,-50,-110
36,0,39
46,-306,239
177,-305,-97
176,-174,39
230,-142,40
247,-166,53
248,-153,30
274,-160,-22
301,-208,-36
433,186,-270
250,-203,-203
153,-579,77
151,76,137
14,-552,3
60,283,-212
273,-223,-138
1015,-852,-547
528,-1525,663
-121,-394,-43
-41,-242,-406
68,-379,54
157,-410,-140
131,-251,3
122,-318,-86
222,-499,14
285,487,-460
268,-499,91
126,-564,449
0,176,-116
-124,-453,209
66,-351,-190
102,-387,-382
-2,-433,-362
-13,-433,-418
